2026-04-07 02:48:31 | DEBUG | stakan_pattern | [PEOPLEUSDT SHORT] Анализ: spr3_pct=0.3135, roc_sma=0.1577, rate=1.99
2026-04-07 02:48:31 | DEBUG | stakan_pattern | [RONUSDT LONG] Анализ: spr3_pct=0.3550, roc_sma=0.1176, rate=3.02
2026-04-07 02:48:32 | DEBUG | stakan_pattern | [EDGEXUSDT LONG] Анализ: spr3_pct=0.2397, roc_sma=0.0196, rate=12.26
2026-04-07 02:48:32 | DEBUG | stakan_pattern | [ZILUSDT LONG] Анализ: spr3_pct=0.5236, roc_sma=0.2591, rate=2.02
2026-04-07 02:48:32 | DEBUG | stakan_pattern | [ZILUSDT SHORT] Анализ: spr3_pct=0.5249, roc_sma=0.2653, rate=1.98
2026-04-07 02:48:32 | DEBUG | stakan_pattern | [AAVEUSDT SHORT] Анализ: spr3_pct=0.5272, roc_sma=0.0346, rate=15.22
2026-04-07 02:48:33 | DEBUG | stakan_pattern | [EDGEXUSDT LONG] Анализ: spr3_pct=0.2179, roc_sma=0.0217, rate=10.03
2026-04-07 02:48:33 | DEBUG | stakan_pattern | [GALAUSDT SHORT] Анализ: spr3_pct=0.7018, roc_sma=0.3559, rate=1.97
2026-04-07 02:48:33 | DEBUG | stakan_pattern | [CYBERUSDT LONG] Анализ: spr3_pct=0.3968, roc_sma=0.2361, rate=1.68
2026-04-07 02:48:33 | DEBUG | stakan_pattern | [MEMEUSDT LONG] Анализ: spr3_pct=0.3984, roc_sma=0.2370, rate=1.68
2026-04-07 02:48:33 | DEBUG | stakan_pattern | [XTZUSDT LONG] Анализ: spr3_pct=0.5865, roc_sma=0.2899, rate=2.02
2026-04-07 02:48:33 | DEBUG | stakan_pattern | [EDGEXUSDT LONG] Анализ: spr3_pct=0.2179, roc_sma=0.0217, rate=10.03
2026-04-07 02:48:33 | DEBUG | stakan_pattern | [AXSUSDT SHORT] Анализ: spr3_pct=0.2722, roc_sma=0.0912, rate=2.99
2026-04-07 02:48:34 | DEBUG | stakan_pattern | [SNXUSDT SHORT] Анализ: spr3_pct=0.6897, roc_sma=0.3497, rate=1.97
2026-04-07 02:48:35 | DEBUG | stakan_pattern | [AXSUSDT SHORT] Анализ: spr3_pct=0.2722, roc_sma=0.0912, rate=2.99
2026-04-07 02:48:35 | DEBUG | stakan_pattern | [IOTXUSDT LONG] Анализ: spr3_pct=0.4464, roc_sma=0.2212, rate=2.02
2026-04-07 02:48:35 | DEBUG | stakan_pattern | [RONUSDT LONG] Анализ: spr3_pct=0.3550, roc_sma=0.1176, rate=3.02
2026-04-07 02:48:35 | DEBUG | stakan_pattern | [EDGEXUSDT LONG] Анализ: spr3_pct=0.2179, roc_sma=0.0217, rate=10.03
2026-04-07 02:48:35 | DEBUG | stakan_pattern | [AXSUSDT SHORT] Анализ: spr3_pct=0.2722, roc_sma=0.0912, rate=2.99
2026-04-07 02:48:37 | DEBUG | stakan_pattern | [EDGEXUSDT LONG] Анализ: spr3_pct=0.2179, roc_sma=0.0217, rate=10.03
2026-04-07 02:48:38 | DEBUG | stakan_pattern | [AAVEUSDT SHORT] Анализ: spr3_pct=0.5486, roc_sma=0.0325, rate=16.90
2026-04-07 02:48:38 | DEBUG | stakan_pattern | [AAVEUSDT SHORT] Анализ: spr3_pct=0.5486, roc_sma=0.0325, rate=16.90
2026-04-07 02:48:38 | DEBUG | stakan_pattern | [AAVEUSDT SHORT] Анализ: spr3_pct=0.5379, roc_sma=0.0325, rate=16.57
2026-04-07 02:48:39 | DEBUG | stakan_pattern | [AXSUSDT SHORT] Анализ: spr3_pct=0.2722, roc_sma=0.0912, rate=2.99
2026-04-07 02:48:39 | DEBUG | stakan_pattern | [KAIAUSDT LONG] Анализ: spr3_pct=0.4264, roc_sma=0.2114, rate=2.02
2026-04-07 02:48:39 | DEBUG | stakan_pattern | [KAIAUSDT SHORT] Анализ: spr3_pct=0.6410, roc_sma=0.2160, rate=2.97
2026-04-07 02:48:39 | DEBUG | stakan_pattern | [SNXUSDT SHORT] Анализ: spr3_pct=0.6897, roc_sma=0.3497, rate=1.97
2026-04-07 02:48:39 | DEBUG | stakan_pattern | [EDGEXUSDT LONG] Анализ: spr3_pct=0.2614, roc_sma=0.0195, rate=13.37
2026-04-07 02:48:39 | DEBUG | stakan_pattern | [CLOUSDT LONG] Анализ: spr3_pct=0.5020, roc_sma=0.0997, rate=5.04
2026-04-07 02:48:40 | DEBUG | stakan_pattern | [MEWUSDT LONG] Анализ: spr3_pct=0.3565, roc_sma=0.1770, rate=2.01
2026-04-07 02:48:40 | DEBUG | stakan_pattern | [EDGEXUSDT LONG] Анализ: spr3_pct=0.2614, roc_sma=0.0195, rate=13.37
2026-04-07 02:48:40 | DEBUG | stakan_pattern | [MEWUSDT LONG] Анализ: spr3_pct=0.3565, roc_sma=0.1770, rate=2.01
2026-04-07 02:48:40 | DEBUG | stakan_pattern | [MEWUSDT LONG] Анализ: spr3_pct=0.3565, roc_sma=0.1770, rate=2.01
2026-04-07 02:48:41 | DEBUG | stakan_pattern | [MEWUSDT LONG] Анализ: spr3_pct=0.3565, roc_sma=0.1770, rate=2.01
2026-04-07 02:48:41 | DEBUG | stakan_pattern | [EDGEXUSDT LONG] Анализ: spr3_pct=0.2614, roc_sma=0.0195, rate=13.37
